[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Winterfell - Couuleur = bleu(Stark) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Winterfell - Couuleur = bleu(Stark) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Winterfell - Couuleur = bleu(Stark) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Castral Roc - Couuleur = rouge(Lannister) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Hodor dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | John Snow dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Joffrey dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Winterfell - Couuleur = bleu(Stark) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Castral Roc - Couuleur = rouge(Lannister) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Peyredragon - Couuleur = jaune(Baratheon) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Hodor dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | John Snow dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Joffrey dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Viserion dit : je me déplace en volant (Dragon.java:55)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Drogon dit : je me déplace en volant (Dragon.java:55)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Winterfell - Couleur = bleu(Stark) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Castral Roc - Couleur = rouge(Lannister) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Peyredragon - Couleur = noir(Targaryen) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Hodor dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | John Snow dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Joffrey dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Viserion dit : je me déplace en volant (Dragon.java:55)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Drogon dit : je me déplace en volant (Dragon.java:55)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Winterfell - Couleur = bleu(Stark) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Castral Roc - Couleur = rouge(Lannister) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Peyredragon - Couleur = noir(Targaryen) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Hodor dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | John Snow dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Joffrey dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Viserion dit : je me déplace en volant (Dragon.java:63)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Drogon dit : je me déplace en volant (Dragon.java:63)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.Guerrier | John Snow dit : Ah, Ah !! Joffrey je vais te pourfendre !!! (Guerrier.java:64)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.Guerrier | Joffrey dit : Aiieee !! ça fait mal quand même !! --> 52.5 (Guerrier.java:71)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.Guerrier | Joffrey dit : Ah, Ah !! Hodor je vais te pourfendre !!! (Guerrier.java:64)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.Ouvrier | Hodor dit : Aiieee !! petit poltron, je n'ai même pas d'arme !!!! --> 241.66667 (Ouvrier.java:65)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Viserion dit : raaahhhh !! Joffrey je vais te réduire en cendres !!! (Dragon.java:68)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.Guerrier | Joffrey dit : Aiieee !! ça fait mal quand même !! --> -97.5 (Guerrier.java:71)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Drogon dit : raaahhhh !! Viserion je vais te réduire en cendres !!! (Dragon.java:68)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Viserion dit : hmmm ... qui me chatouille ... ?? --> 1930.0 (Dragon.java:81)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Winterfell - Couleur = bleu(Stark) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Castral Roc - Couleur = rouge(Lannister) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.map.Base                       | Base créée : nom = Peyredragon - Couleur = noir(Targaryen) (Base.java:44)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Hodor dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | John Snow dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.PersoHumain | Joffrey dit : "je me déplace en marchant" (PersoHumain.java:40)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Viserion dit : je me déplace en volant (Dragon.java:63)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Drogon dit : je me déplace en volant (Dragon.java:63)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.Guerrier | John Snow dit : Ah, Ah !! Joffrey je vais te pourfendre !!! (Guerrier.java:64)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.Guerrier | Joffrey dit : Aiieee !! ça fait mal quand même !! --> 52.5 (Guerrier.java:71)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.Guerrier | Joffrey dit : Ah, Ah !! Hodor je vais te pourfendre !!! (Guerrier.java:64)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.humains.Ouvrier | Hodor dit : Aiieee !! petit poltron, je n'ai même pas d'arme !!!! --> 241.66667 (Ouvrier.java:65)
[main] INFO  | fr.ensma.a3.ia.jeupersonnages.elements.personnages.animaux.Dragon | Viserion dit : raaahhhh !! Joffrey je vais te réduire en cendres !!! (Dragon.java:68)
